name,degree,degree_centrality
defendants,1,0.00044943820224719103
plaintiffs,1,0.00044943820224719103
davy,167,0.0750561797752809
robert,804,0.3613483146067416
massyngton,1,0.00044943820224719103
william,1276,0.5734831460674158
glove,1,0.00044943820224719103
clemens,27,0.012134831460674157
lavour,3,0.001348314606741573
thomas,1212,0.5447191011235956
cony,12,0.005393258426966292
coke,109,0.048988764044943824
boye,12,0.005393258426966292
sherard,15,0.006741573033707865
simon,217,0.09752808988764046
crown,1500,0.6741573033707865
henry,625,0.2808988764044944
richard,1024,0.4602247191011236
warner,19,0.00853932584269663
walter,406,0.18247191011235955
kyng,91,0.04089887640449438
john,1739,0.7815730337078652
alouff,7,0.003146067415730337
margery,7,0.003146067415730337
northampton,7,0.003146067415730337
philip,231,0.10382022471910113
malpas,7,0.003146067415730337
cheshire,7,0.003146067415730337
egerton,9,0.004044943820224719
roger,372,0.16719101123595506
bleche,3,0.001348314606741573
selwitham,3,0.001348314606741573
burgeys,18,0.008089887640449439
joan,60,0.02696629213483146
verne,1,0.00044943820224719103
westey,4,0.0017977528089887641
johanna,19,0.00853932584269663
vera,4,0.0017977528089887641
veysy,4,0.0017977528089887641
palmer,4,0.0017977528089887641
inglond,1,0.00044943820224719103
reginald,70,0.03146067415730337
walkeden,6,0.002696629213483146
saltby,6,0.002696629213483146
rey,1,0.00044943820224719103
stevens,3,0.001348314606741573
laurence,157,0.07056179775280899
lawrence,125,0.05617977528089888
stevenes,3,0.001348314606741573
forest,3,0.001348314606741573
ferear,3,0.001348314606741573
james,283,0.12719101123595505
rothe,33,0.014831460674157304
jacob,5,0.0022471910112359553
swetman,2,0.0008988764044943821
wetman,1,0.00044943820224719103
sylvestre,5,0.0022471910112359553
okeburn,5,0.0022471910112359553
stephen,106,0.04764044943820225
ashton,112,0.050337078651685394
ralph,320,0.14382022471910114
bowes,44,0.019775280898876407
herryson,32,0.014382022471910113
thornbury,34,0.015280898876404495
bancell,19,0.00853932584269663
edward,204,0.09168539325842696
bolton,36,0.016179775280898877
angell,42,0.018876404494382024
darell,45,0.020224719101123598
austen,32,0.014382022471910113
bany,31,0.013932584269662922
charles,64,0.028764044943820226
wylhous,19,0.00853932584269663
wyn,54,0.024269662921348314
bonour,44,0.019775280898876407
wyes,18,0.008089887640449439
dyn,22,0.009887640449438203
garbit,1,0.00044943820224719103
colt,2,0.0008988764044943821
cokt,2,0.0008988764044943821
bawedewyn,3,0.001348314606741573
alice,27,0.012134831460674157
christina,8,0.0035955056179775282
aysshete,2,0.0008988764044943821
elizabeth,2,0.0008988764044943821
aysshcote,2,0.0008988764044943821
whyte,31,0.013932584269662922
lynton,16,0.0071910112359550565
gono,4,0.0017977528089887641
shorter,10,0.0044943820224719105
boudon,4,0.0017977528089887641
stanley,3,0.001348314606741573
reward,3,0.001348314606741573
petronilla,3,0.001348314606741573
feylond,6,0.002696629213483146
yonge,19,0.00853932584269663
kemys,6,0.002696629213483146
hunt,66,0.029662921348314608
smyth,206,0.09258426966292135
pentecoste,5,0.0022471910112359553
wolnoth,5,0.0022471910112359553
stone,11,0.004943820224719102
horewode,1,0.00044943820224719103
fraunceys,63,0.028314606741573035
crede,11,0.004943820224719102
persaley,11,0.004943820224719102
frank,12,0.005393258426966292
walkeman,11,0.004943820224719102
bysshop,42,0.018876404494382024
ruddok,44,0.019775280898876407
marten,6,0.002696629213483146
hervy,16,0.0071910112359550565
rell,6,0.002696629213483146
luky,6,0.002696629213483146
auncell,6,0.002696629213483146
hykke,6,0.002696629213483146
crokker,10,0.0044943820224719105
symon,10,0.0044943820224719105
peter,174,0.07820224719101124
walshe,20,0.008988764044943821
ryder,10,0.0044943820224719105
helyer,42,0.018876404494382024
bride,10,0.0044943820224719105
fleccher,25,0.011235955056179775
hoge,4,0.0017977528089887641
mathede,3,0.001348314606741573
herfordebure,3,0.001348314606741573
hulot,3,0.001348314606741573
margaret,19,0.00853932584269663
leybourne,3,0.001348314606741573
hassock,3,0.001348314606741573
lawles,11,0.004943820224719102
love,16,0.0071910112359550565
jusdon,11,0.004943820224719102
geoffrey,139,0.06247191011235955
berbawe,11,0.004943820224719102
heruy,11,0.004943820224719102
couper,100,0.0449438202247191
yrde,11,0.004943820224719102
reculver,10,0.0044943820224719105
sager,10,0.0044943820224719105
holder,13,0.005842696629213483
carter,55,0.024719101123595506
bonham,10,0.0044943820224719105
garland,10,0.0044943820224719105
saverey,3,0.001348314606741573
